"filename", "language", "Properties", "XML", "Batch", "HTML", "Markdown", "comment", "blank", "total"
"d:\RacerStats\.idea\AndroidProjectSystem.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"d:\RacerStats\.idea\compiler.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"d:\RacerStats\.idea\deploymentTargetSelector.xml", "XML", 0, 18, 0, 0, 0, 0, 0, 18
"d:\RacerStats\.idea\gradle.xml", "XML", 0, 19, 0, 0, 0, 0, 0, 19
"d:\RacerStats\.idea\migrations.xml", "XML", 0, 10, 0, 0, 0, 0, 0, 10
"d:\RacerStats\.idea\misc.xml", "XML", 0, 16, 0, 0, 0, 0, 0, 16
"d:\RacerStats\.idea\runConfigurations.xml", "XML", 0, 17, 0, 0, 0, 0, 0, 17
"d:\RacerStats\app\src\main\AndroidManifest.xml", "XML", 0, 31, 0, 0, 0, 3, 6, 40
"d:\RacerStats\app\src\main\res\drawable\ic_add.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_check.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_close.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_edit.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_file.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_info.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_launcher_background.xml", "XML", 0, 170, 0, 0, 0, 0, 1, 171
"d:\RacerStats\app\src\main\res\drawable\ic_launcher_foreground.xml", "XML", 0, 30, 0, 0, 0, 0, 0, 30
"d:\RacerStats\app\src\main\res\drawable\ic_live.xml", "XML", 0, 10, 0, 0, 0, 0, 0, 10
"d:\RacerStats\app\src\main\res\drawable\ic_more_vert.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_review.xml", "XML", 0, 10, 0, 0, 0, 0, 0, 10
"d:\RacerStats\app\src\main\res\drawable\ic_save.xml", "XML", 0, 11, 0, 0, 0, 0, 0, 11
"d:\RacerStats\app\src\main\res\drawable\ic_track.xml", "XML", 0, 10, 0, 0, 0, 0, 0, 10
"d:\RacerStats\app\src\main\res\drawable\speed_progress_bar.xml", "XML", 0, 20, 0, 0, 0, 2, 1, 23
"d:\RacerStats\app\src\main\res\layout\activity_main.xml", "XML", 0, 247, 0, 0, 0, 10, 35, 292
"d:\RacerStats\app\src\main\res\layout\fragment_live.xml", "XML", 0, 147, 0, 0, 0, 5, 21, 173
"d:\RacerStats\app\src\main\res\layout\fragment_review.xml", "XML", 0, 27, 0, 0, 0, 0, 3, 30
"d:\RacerStats\app\src\main\res\layout\fragment_track.xml", "XML", 0, 102, 0, 0, 0, 0, 16, 118
"d:\RacerStats\app\src\main\res\layout\fragment_track_detail.xml", "XML", 0, 89, 0, 0, 0, 0, 16, 105
"d:\RacerStats\app\src\main\res\layout\fragment_track_edit.xml", "XML", 0, 113, 0, 0, 0, 0, 19, 132
